Test robustesse Iris avec le même fichier pour le train et test

CONCLUSION:

Meilleur N :  1
taux: 100%


Les données étant les même, les résultats sont logiques.


Tableau meilleur NB voisin et pourcentage de robustesse
NB voisin | Pourcentage de robustesse
1 | 1.0
2 | 0.98
3 | 0.98
4 | 0.9666666666666667
5 | 0.96
6 | 0.9533333333333334
7 | 0.9533333333333334
8 | 0.9466666666666667
9 | 0.94
10 | 0.9266666666666666
11 | 0.9066666666666666
12 | 0.9
13 | 0.8866666666666667
14 | 0.88
15 | 0.8733333333333333
16 | 0.8666666666666667
17 | 0.8666666666666667
18 | 0.86
19 | 0.8466666666666667
20 | 0.8333333333333334
21 | 0.8266666666666667
22 | 0.8266666666666667
23 | 0.8066666666666666
24 | 0.8
25 | 0.7933333333333333
26 | 0.7866666666666666
27 | 0.7733333333333333
28 | 0.7666666666666667
29 | 0.7666666666666667
30 | 0.7666666666666667
31 | 0.76
32 | 0.7333333333333333
33 | 0.72
34 | 0.7133333333333334
35 | 0.7133333333333334
36 | 0.7066666666666667
37 | 0.7
38 | 0.6933333333333334
39 | 0.68
40 | 0.6666666666666666
41 | 0.6666666666666666
42 | 0.6666666666666666
43 | 0.6666666666666666
44 | 0.6666666666666666
45 | 0.6666666666666666
46 | 0.6666666666666666
47 | 0.6666666666666666
48 | 0.66
49 | 0.66
50 | 0.66
51 | 0.3333333333333333
52 | 0.3333333333333333
53 | 0.3333333333333333
54 | 0.3333333333333333
55 | 0.3333333333333333
56 | 0.3333333333333333
57 | 0.3333333333333333
58 | 0.3333333333333333
59 | 0.3333333333333333
60 | 0.3333333333333333
61 | 0.3333333333333333
62 | 0.3333333333333333
63 | 0.3333333333333333
64 | 0.3333333333333333
65 | 0.3333333333333333
66 | 0.3333333333333333
67 | 0.3333333333333333
68 | 0.3333333333333333
69 | 0.3333333333333333
70 | 0.3333333333333333
71 | 0.3333333333333333
72 | 0.3333333333333333
73 | 0.3333333333333333
74 | 0.3333333333333333
