Robustesse en utilisant le meme fichier pour le train et le test

CONCLUSION:

Meilleur n: 1
Taux : 100%

Resultat logique car les données sont identique


Tableau meilleur NB voisin et pourcentage de robustesse
NB voisin | Pourcentage de robustesse
1 | 1.0
2 | 0.9921104536489151
3 | 0.9783037475345168
4 | 0.9783037475345168
5 | 0.980276134122288
6 | 0.9822485207100592
7 | 0.9783037475345168
8 | 0.9743589743589743
9 | 0.9763313609467456
10 | 0.9644970414201184
11 | 0.9644970414201184
12 | 0.960552268244576
13 | 0.9644970414201184
14 | 0.9723865877712031
15 | 0.960552268244576
16 | 0.9625246548323472
17 | 0.9763313609467456
18 | 0.9704142011834319
19 | 0.9743589743589743
20 | 0.9783037475345168
21 | 0.9684418145956607
22 | 0.9704142011834319
23 | 0.9743589743589743
24 | 0.9704142011834319
25 | 0.9704142011834319
26 | 0.9743589743589743
27 | 0.9763313609467456
28 | 0.9763313609467456
29 | 0.9723865877712031
30 | 0.9743589743589743
31 | 0.9704142011834319
32 | 0.9664694280078896
33 | 0.9585798816568047
34 | 0.9625246548323472
35 | 0.9211045364891519
36 | 0.9250493096646942
37 | 0.9230769230769231
38 | 0.9270216962524654
39 | 0.9250493096646942
40 | 0.9250493096646942
41 | 0.9112426035502958
42 | 0.9072978303747534
43 | 0.9250493096646942
44 | 0.9053254437869822
45 | 0.8994082840236687
46 | 0.9329388560157791
47 | 0.8757396449704142
48 | 0.9250493096646942
49 | 0.9349112426035503
50 | 0.9368836291913215
51 | 0.9230769230769231
52 | 0.9388560157790927
53 | 0.9408284023668639
54 | 0.9368836291913215
55 | 0.9230769230769231
56 | 0.9191321499013807
57 | 0.9250493096646942
58 | 0.9250493096646942
59 | 0.9250493096646942
60 | 0.9230769230769231
61 | 0.9230769230769231
62 | 0.9250493096646942
63 | 0.9230769230769231
64 | 0.9171597633136095
65 | 0.9132149901380671
66 | 0.9053254437869822
67 | 0.8974358974358975
68 | 0.8974358974358975
69 | 0.9151873767258383
70 | 0.8658777120315582
71 | 0.873767258382643
72 | 0.9250493096646942
73 | 0.9250493096646942
74 | 0.7948717948717948
75 | 0.796844181459566
76 | 0.7928994082840237
77 | 0.7948717948717948
78 | 0.796844181459566
79 | 0.7928994082840237
80 | 0.7928994082840237
